bout_date,year,month,sex_cd,site_name,dive_time,success_cd,preytype_cd,prey_qty,preysize_cd,ageclass_cd,dive_num,visibility_cd,area_cd,bout_id,phylum
1993-04-21,1993,4,m,Dundas,NA,y,cam,1,3z,a,1,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,43,y,cam,1,3z,a,2,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,51,n,,NA,,a,3,un,GLBA,19930421leb2,NA
1993-04-21,1993,4,m,Dundas,82,y,cam,1,3z,a,4,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,131,y,cra,NA,2z,a,5,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,159,y,cam,1,4z,a,6,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,170,y,cam,1,4z,a,7,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,70,y,cam,1,4z,a,8,un,GLBA,19930421leb2,Arthropoda
1993-04-21,1993,4,m,Dundas,NA,y,cam,1,4z,a,1,un,GLBA,19930421leb3,Arthropoda
1993-04-21,1993,4,m,Dundas,162,y,mas,2,2z,a,2,un,GLBA,19930421leb3,Mollusca
1993-04-21,1993,4,m,Dundas,NA,y,cam,1,4z,a,3,un,GLBA,19930421leb3,Arthropoda
1993-04-21,1993,4,m,Dundas,76,y,sag,3,1z,a,4,un,GLBA,19930421leb3,Mollusca
1993-04-21,1993,4,m,Dundas,133,y,cam,1,3z,a,5,un,GLBA,19930421leb3,Arthropoda
1993-04-21,1993,4,m,Dundas,85,n,,NA,,a,6,un,GLBA,19930421leb3,NA
1993-04-21,1993,4,m,Dundas,98,y,cam,1,3z,a,7,un,GLBA,19930421leb3,Arthropoda
1993-04-21,1993,4,m,Dundas,62,n,,NA,,a,8,un,GLBA,19930421leb3,NA
1993-04-21,1993,4,m,Dundas,NA,y,cam,1,3z,a,9,un,GLBA,19930421leb3,Arthropoda
1993-04-21,1993,4,m,Dundas,125,y,cam,1,3z,a,10,un,GLBA,19930421leb3,Arthropoda
1993-04-21,1993,4,m,Dundas,97,n,,NA,,a,1,un,GLBA,19930421leb4,NA
1993-04-21,1993,4,m,Dundas,51,y,cam,1,4z,a,2,un,GLBA,19930421leb4,Arthropoda
1993-04-21,1993,4,m,Dundas,32,y,sag,1,2z,a,3,un,GLBA,19930421leb4,Mollusca
1993-04-21,1993,4,m,Dundas,48,y,cla,3,1z,a,1,un,GLBA,19930421leb5,Mollusca
1993-04-21,1993,4,m,Dundas,129,y,cam,1,3z,a,4,un,GLBA,19930421leb5,Arthropoda
1993-04-21,1993,4,m,Dundas,35,y,cra,4,1z,a,5,un,GLBA,19930421leb5,Arthropoda
1993-04-21,1993,4,m,Dundas,41,y,cla,8,1z,a,6,un,GLBA,19930421leb5,Mollusca
1993-04-21,1993,4,m,Dundas,NA,y,cla,8,1z,a,1,un,GLBA,19930421leb6,Mollusca
1993-04-21,1993,4,m,Dundas,40,y,cam,1,4z,a,3,un,GLBA,19930421leb6,Arthropoda
1993-04-22,1993,4,m,Dundas,138,y,cam,1,3z,a,1,un,GLBA,19930422jlb1,Arthropoda
1993-04-22,1993,4,m,Dundas,133,n,,NA,,a,2,un,GLBA,19930422jlb1,NA
1993-04-22,1993,4,m,Dundas,161,y,cla,1,2z,a,1,un,GLBA,19930422jlb2,Mollusca
